PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,SessionDurationMinutes,KillDeathRatio,HeadshotPercentage,MovementSpeed,ReactionTimeMs,AimAccuracy,ActionsPerMinute,NetworkLatencyMs,PacketLossPercentage,InGamePurchases,AchievementRate,EngagementLevel,Label
P0521,27,Male,Brazil,Battle Royale,28.5561334878566,21.79044016592452,0.2157478932809731,34.89254535076328,6.650267395898296,226.45937366658552,75.30180471431805,114.461494352925,95.04583818244063,0.2867143735847132,1,18.69123468225476,Low,Legitimate
P0737,41,Female,Germany,RPG,24.565230501861375,55.42804350125999,1.5917948323993034,29.859010340933285,5.976651040800557,226.8830970434023,85.0,60.98618613169489,47.02002959053685,0.9459388172851373,0,46.4643890062493,High,Legitimate
P0740,43,Other,USA,Battle Royale,30.720574417141442,32.29723550811953,0.8094218109344429,30.845051456928626,5.827811073574123,179.28009062768382,54.13903804319809,57.16116361677377,38.37173238521426,0.5924812936710433,0,33.941519675275316,Medium,Legitimate
P0660,28,Female,Brazil,RPG,20.21162543991596,34.38561157766961,1.4688149514749398,31.386451837100847,7.535873535181793,198.3852410446335,63.844588470361,102.41934047228756,58.01371324415936,0.8356350683526768,1,51.50503351708688,High,Legitimate
P0411,28,Male,Brazil,FPS,14.281427669598445,70.87044974641663,1.3663037551620987,40.7684814465768,6.258824416163609,224.37368768403695,38.115175482991226,51.821617946189505,84.18020397801995,0.14499227855422386,0,26.172370277214696,Medium,Legitimate
P0678,38,Male,India,RPG,18.707366063072115,27.684559976505234,0.8958867462776203,20.055714782002077,5.531491562261996,289.5127663755995,43.86420444353898,68.81672329881583,58.71324705241667,0.7350068306233307,1,63.83238027102982,Medium,Legitimate
P0626,33,Male,Germany,FPS,27.30070759191402,40.48710379288761,1.7047358942979844,34.096361186839935,6.137605812231208,158.02059937374858,74.71112472286906,75.75820660159148,36.6426938541658,0.9896298721434814,1,30.03818034302675,High,Legitimate
P0513,34,Male,UK,FPS,29.87872284871074,42.67111426762877,0.6920605865050108,43.10191908080897,5.81149085879779,202.0877811046246,60.981456466372215,43.32588464741131,66.90828363287707,0.8199514785760422,0,32.38272978633182,Medium,Legitimate
P0859,31,Other,India,Sports,21.288484851303213,101.20545319977782,5.930699553311783,98.75260620533692,12.278865927259131,40.347485258948154,95.25529369194551,408.69363499129395,280.2908514775109,3.775669610528223,0,92.39143289478673,High,Cheating
P0136,13,Other,USA,MOBA,22.751440181919214,46.257399418940416,1.4129218293149144,29.944397063519293,5.314075519051229,164.2588906323793,60.48091362887711,57.31657709444419,70.89249148998677,0.0,1,35.05938618668183,Low,Legitimate
P0811,17,Other,Brazil,FPS,31.60033364025324,83.16893335967407,8.21446855506114,93.70542411005371,14.267594650524153,24.62229849824561,98.84420963141733,346.65404451659765,196.7009187490251,4.290375879777005,0,93.52783662357304,Low,Cheating
P0076,32,Other,India,RPG,25.75433638901593,31.11863060910619,0.3030537510660548,27.313542466902575,5.37665593595389,170.93370317412678,52.10043660328045,101.19131145246794,75.81518624465059,0.6283916286623614,1,23.586632571668062,Medium,Legitimate
P0636,13,Female,Germany,FPS,29.577728661518858,52.36811498117994,1.0267867469965501,30.262047527740357,6.25341946350243,200.60621090687653,47.832402239443134,54.868693281091296,65.55031717763781,0.9768801279056769,1,81.61487649662524,Medium,Legitimate
P0973,20,Other,India,Battle Royale,17.040791636255808,88.05361404615284,6.333744437852153,93.55687529965243,10.406566468920222,19.602220120986324,97.35437196291026,462.0492026322091,107.32807784790083,2.540609163920988,1,94.03120017630606,Low,Cheating
P0938,31,Other,Brazil,RPG,10.936353094228853,76.42890612657135,8.438526000895996,84.27737131800939,12.393491601798907,23.638560392508655,100.0,278.4677141181183,236.80638008140198,3.62092527421086,0,92.18469396572777,Medium,Cheating
P0899,23,Other,UK,MOBA,10.723830831882685,95.19993619145285,8.932846601484703,94.68935496293366,12.73073387427053,30.984969946621696,93.38307437444966,342.4065230602537,251.37462360796238,4.4341365947748335,0,92.5630959539524,High,Cheating
P0280,32,Male,UK,RPG,23.026615796926738,44.4958115294443,1.3145373441028512,24.743690660146157,4.996430381092282,262.5562049190119,85.0,72.83192848974222,71.3728923202554,0.0,1,52.473068112422965,Medium,Legitimate
P0883,14,Female,India,FPS,26.359353554101876,76.60877540534106,5.77218966222112,74.96157519129915,10.565425215588682,42.03488425428343,94.99547484419303,432.6648174397589,223.07545805823972,3.451994104760251,0,95.31677941445312,High,Cheating
P0761,38,Other,Brazil,RPG,22.65592199683678,34.002657043350055,2.607327222236276,24.705330364929917,7.068182429527326,196.93664747508464,55.22541625430645,65.86586463253988,62.42922128399092,0.48559169920568834,1,48.721368649410934,Medium,Legitimate
P0319,18,Male,Germany,RPG,27.132937073729387,18.356304998003225,0.8045503091662234,38.46882103884914,6.3272361076574235,261.8577243165692,53.1020113037941,65.37490862374086,12.702892544169757,0.0,1,74.09076921775515,High,Legitimate
P0549,19,Other,Brazil,Sports,32.307641190665244,51.70308751204047,1.0012211172541392,0.8574401018305906,4.887016728729311,268.4684651204027,73.35904516356835,63.50699319418625,36.64485168200158,0.0,1,66.62633915537073,Medium,Legitimate
P0174,20,Female,UK,Battle Royale,23.65691258529452,27.366080915627226,2.0478614389054326,39.976320769202445,5.194811154519249,282.1702898593581,67.49736649944151,67.88640000128404,49.62724005030848,0.44894847055428055,1,25.757175436192306,High,Legitimate
P0371,28,Other,Germany,MOBA,33.74389180712728,41.542130622296234,0.15676117081445762,16.668716452221936,4.761302501670437,271.2816056936291,50.609718115370846,37.28400302530389,60.46770429317015,0.0,1,27.123335587218197,Medium,Legitimate
P0527,22,Female,Germany,RPG,20.479096671669197,24.04322722330513,1.2488351883741677,24.876257593233063,6.376173931693075,154.7705278099764,65.98121427149533,72.03433932914903,56.66370518603213,0.2976807399795268,0,38.4335811461888,High,Legitimate
P0210,35,Female,Germany,RPG,22.412039373328977,61.22650091509243,1.6077505112221313,19.44910631823305,6.389153824787806,141.44238244410585,69.95589034680462,69.67766716257131,99.48157375490047,0.0,1,52.08618763037721,High,Legitimate
P0235,32,Male,India,Battle Royale,32.47910256117534,37.41379943607095,0.1,28.927352341890582,5.063844558492515,228.06497713313476,71.29571066808757,48.28308719228305,33.520978315608744,0.0,1,34.56466685401857,Medium,Legitimate
P0101,30,Male,UK,RPG,17.47843594409417,41.955290439065145,1.2390715314848237,22.8395656372416,5.56936980265807,317.11227973781496,51.09945624729333,86.2867736626286,72.644326280637,0.19292823437640766,0,38.01476229304077,Low,Legitimate
P0986,34,Female,USA,FPS,21.6851958909115,93.67374658757923,10.803147621343026,84.75503094882542,8.924627969171324,26.90190212838003,96.34868798325363,318.30420767216964,176.4538269212394,2.085522261439234,0,98.29797983438253,Medium,Cheating
P0902,20,Female,India,Battle Royale,28.99605070533827,71.48558309061377,8.252735541524668,97.22482610170393,13.055677378420194,45.90746783726565,97.12711930310924,371.6836290291148,154.48876723013802,1.5413695111035248,0,94.24218281252794,High,Cheating
P0947,21,Male,USA,Sports,6.842865850362845,77.99876243457263,8.463360365576305,88.88395596271064,15.697664997529724,24.955889328561177,97.08752875100771,407.1206067532337,80.39301984264529,2.6204218780022117,0,92.85037773292781,High,Cheating
